1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
228	-0.131252	63.764939	142.680891	0.001420	1.4
229	-0.111090	64.705446	141.115152	0.001067	2.4
230	-0.120790	65.704794	139.488677	0.000590	1.9
231	-0.124579	65.208521	140.291665	0.000752	2.4
232	-0.138082	64.755133	141.033388	0.001240	2.1
233	-0.120407	64.149490	142.036518	0.001201	1.6
234	-0.097321	65.147907	140.390374	0.000915	1.9
235	-0.113473	66.147194	138.780567	0.000981	1.7
236	-0.104852	65.541948	139.751153	0.001602	1.6
237	-0.112263	66.540733	138.156680	0.001225	1.5
238	-0.110373	65.934541	139.120042	0.001381	1.9
239	-0.136102	66.750845	137.825874	0.002000	1.7
240	-0.128609	67.750845	136.272921	0.001172	1.4
241	-0.128127	67.144653	137.210103	0.001947	1.7
242	-0.125780	68.144653	135.670918	0.000874	1.5
243	-0.142842	69.144580	134.165992	0.001115	1.8
244	-0.114464	70.095135	132.766003	0.001375	1.6
245	-0.112311	69.489015	133.655306	0.000954	1.5
246	-0.123622	70.488897	132.194587	0.001168	1.7
247	-0.123150	69.896133	133.056672	0.001247	1.6
248	-0.125958	70.868254	131.648708	0.000908	1.6
249	-0.117651	71.866145	130.234080	0.001489	1.5
250	-0.132933	72.663637	129.125212	0.001051	1.5
251	-0.114309	73.132569	128.481960	0.001272	1.4
252	-0.119118	72.820125	128.909836	0.000697	1.2
253	-0.100615	73.258855	128.309823	0.001974	1.5
254	-0.135829	72.979258	128.691557	0.000305	1.3
255	-0.145283	73.768103	127.620334	0.001277	1.7
256	-0.099960	73.720699	127.684203	0.001130	1.7
257	-0.111194	73.327596	128.216317	0.001332	2.1
258	-0.125346	72.737696	129.023195	0.001322	1.5
259	-0.112342	73.649723	127.779951	0.000548	1.5
260	-0.109567	73.079880	128.553916	0.000699	1.3
261	-0.113370	73.822042	127.547737	0.001212	1.5
262	-0.126541	73.219797	128.363012	0.000804	1.5
263	-0.132418	74.139622	127.121978	0.001611	1.5
264	-0.108471	73.534484	127.935717	0.001577	1.6
265	-0.125318	74.534484	126.596559	0.000668	1.4
266	-0.128582	75.531162	125.289458	0.000595	1.7
267	-0.112631	75.117540	125.828615	0.000907	1.8
268	-0.136010	74.551359	126.574202	0.001214	1.7
269	-0.120206	74.187355	127.058231	0.000376	1.6
270	-0.125601	74.151933	127.105531	0.000876	1.5
271	-0.147178	73.640564	127.792317	0.000511	1.3
272	-0.109493	73.174983	128.424095	0.000512	1.3
273	-0.136823	73.890896	127.455188	0.001348	1.3
274	-0.110771	74.883370	126.135919	0.001273	1.5
275	-0.115915	75.881094	124.836916	0.001171	1.5
276	-0.130652	75.274910	125.622937	0.000958	1.6
277	-0.123204	74.703049	126.373581	0.000811	1.8
278	-0.104512	74.180906	127.066840	0.000751	1.5
279	-0.130960	75.133600	125.807594	0.001182	1.5
280	-0.128587	76.130563	124.516286	0.000935	1.6
281	-0.106066	77.122851	123.257088	0.001457	1.6
282	-0.141784	77.347223	122.975887	0.000924	1.5
283	-0.113420	76.809017	123.652576	0.000704	1.6
284	-0.128153	77.599140	122.661688	0.001112	1.6
285	-0.098810	78.582456	121.450479	0.001611	1.6
286	-0.106588	79.582456	120.243008	0.001301	2.0
287	-0.119464	78.976264	120.972084	0.000537	1.8
288	-0.124980	79.907415	119.855780	0.001849	1.6
289	-0.124026	79.597968	120.224465	0.000952	1.7
290	-0.117609	80.174094	119.539859	0.000627	1.9
291	-0.099652	80.597182	119.042052	0.001753	1.4
292	-0.136509	80.023540	119.718008	0.001458	1.4
293	-0.122607	79.417348	120.440713	0.001735	1.5
294	-0.121030	78.818216	121.163626	0.001418	4.7
295	-0.132624	78.216727	121.898166	0.001909	4.3
296	-0.136258	79.216727	120.681820	0.001002	2.9
297	-0.126497	80.214497	119.492142	0.000688	2.3
298	-0.105053	81.006252	118.564664	0.001184	2.0
299	-0.133230	80.484982	119.173663	0.000697	2.4
300	-0.119264	79.880137	119.888189	0.000698	1.9
301	-0.123612	79.333144	120.541791	0.000960	2.6
302	-0.137936	78.753608	121.242101	0.001025	1.7
303	-0.118141	79.566956	120.261540	0.001745	1.5
304	-0.110251	78.962055	120.989279	0.000612	1.8
305	-0.112407	79.924636	119.835329	0.001460	1.8
306	-0.127460	80.900581	118.687616	0.001248	1.7
307	-0.133111	81.900155	117.534682	0.000765	1.6
308	-0.132125	82.755987	116.565196	0.001071	1.5
309	-0.138489	82.460239	116.898405	0.000865	1.6
310	-0.134122	82.823860	116.488994	0.001101	3.0
311	-0.109955	83.601162	115.623352	0.001131	2.0
312	-0.113334	83.117446	116.160523	0.001360	1.9
313	-0.109451	84.117243	115.055691	0.000961	1.9
314	-0.119347	85.114077	113.974859	0.000818	2.0
315	-0.126852	84.520010	114.616526	0.000693	2.0
316	-0.131870	84.261476	114.898037	0.000449	1.8
317	-0.116975	83.956244	115.232181	0.001813	2.2
318	-0.092306	84.735180	114.383283	0.000766	2.7
319	-0.123797	84.129037	115.042783	0.000785	1.7
320	-0.129861	83.597615	115.627273	0.000655	1.6
321	-0.110164	84.515144	114.621812	0.001602	1.7
322	-0.135514	83.932170	115.258619	0.000512	1.8
323	-0.114773	84.037906	115.142594	0.000996	1.4
324	-0.114109	84.250029	114.910534	0.000901	1.5
325	-0.121151	84.060479	115.117855	0.000935	1.7
326	-0.134818	84.940523	114.161576	0.001498	1.4
327	-0.114408	85.730471	113.316627	0.001147	1.9
328	-0.108366	85.124497	113.963668	0.001604	1.4
329	-0.132020	84.518305	114.618378	0.000699	1.4
330	-0.134597	85.479310	113.583916	0.001092	1.6
331	-0.125197	86.469256	112.537645	0.001620	1.5
332	-0.117625	87.468966	111.500436	0.000723	1.4
333	-0.136785	88.261689	110.691471	0.000882	1.3
334	-0.110601	87.836219	111.124193	0.001004	1.3
335	-0.128054	88.237302	110.716182	0.000982	1.3
336	-0.129369	88.941118	110.007404	0.000534	1.4
337	-0.107939	89.826733	109.128336	0.001094	1.4
338	-0.116531	89.264154	109.685120	0.000867	1.5
339	-0.136024	90.091930	108.867826	0.001360	1.4
340	-0.126273	90.608387	108.364051	0.001540	1.3
341	-0.110472	90.002204	108.955827	0.000397	1.2
342	-0.097013	90.068816	108.890482	0.000705	1.2
343	-0.125304	89.913516	109.042950	0.001332	1.3
344	-0.128727	89.307864	109.641657	0.001923	1.3
345	-0.100931	90.307864	108.656626	0.001135	1.5
346	-0.116240	89.795618	109.158983	0.001114	1.4
347	-0.137520	89.190147	109.758788	0.001431	1.3
348	-0.121410	90.190133	108.771675	0.000324	2.0
349	-0.110046	90.166015	108.795273	0.002075	1.6
350	-0.097866	90.739252	108.237139	0.001531	1.8
351	-0.116772	90.214231	108.748106	0.001161	1.7
352	-0.128976	89.616818	109.335426	0.001591	1.6
353	-0.125447	89.010754	109.937770	0.001110	1.4
354	-0.127140	89.593067	109.358907	0.000753	1.3
355	-0.123614	90.577335	108.394209	0.001231	1.3
356	-0.113586	90.223851	108.738700	0.000758	1.3
357	-0.095360	89.877710	109.078164	0.000481	1.6
358	-0.103477	90.121255	108.839096	0.000954	1.5
359	-0.110541	90.086640	108.873011	0.001297	1.5
360	-0.097003	91.082340	107.905822	0.000481	2.0
361	-0.122395	91.615450	107.395006	0.000685	1.6
362	-0.111177	91.184026	107.808014	0.000934	1.4
363	-0.132409	91.238893	107.755312	0.000663	1.4
364	-0.129071	91.305330	107.691567	0.000746	1.7
365	-0.092658	91.601109	107.408684	0.000915	1.4
366	-0.114310	91.046957	107.939896	0.000497	1.6
367	-0.126631	90.878969	108.101970	0.000978	1.7
368	-0.135091	90.358000	108.607706	0.001705	1.4
369	-0.125465	89.751875	109.202097	0.001991	1.2
370	-0.109077	90.751867	108.224921	0.000453	1.4
371	-0.137019	90.145852	108.815010	0.000857	1.7
372	-0.124602	90.812740	108.166002	0.001547	1.5
373	-0.112836	91.812619	107.207307	0.001342	1.3
374	-0.116181	91.206426	107.786491	0.001149	1.5
375	-0.120799	92.206379	106.834412	0.001041	1.4
376	-0.128930	91.600989	107.408799	0.000414	1.4
377	-0.119411	91.205220	107.787650	0.001231	1.8
378	-0.093339	90.874367	108.106417	0.001168	1.7
379	-0.090880	91.865393	107.157178	0.001228	1.6
380	-0.116938	91.644116	107.367677	0.000850	1.7
381	-0.121122	91.466332	107.537400	0.001298	1.8
382	-0.134033	90.862405	108.117978	0.000843	1.9
383	-0.135692	91.861700	107.160684	0.001918	1.6
384	-0.100016	92.076081	106.957518	0.000835	1.5
385	-0.111226	93.074067	106.021792	0.001017	1.5
386	-0.127140	92.498089	106.559829	0.000612	1.7
387	-0.136922	93.446061	105.677180	0.002028	1.4
388	-0.111373	94.438920	104.768279	0.000592	1.5
389	-0.127839	93.868085	105.288923	0.001042	1.5
390	-0.119337	94.470433	104.739686	0.001074	1.3
391	-0.110626	93.906805	105.253444	0.001911	1.3
392	-0.115774	94.678640	104.551168	0.002498	1.3
393	-0.102913	94.072448	105.101935	0.000993	1.2
394	-0.136501	95.072220	104.196654	0.001383	1.2
