1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
206	-0.359361	0.000000	1726.120067	0.000446	0.9
207	-0.368100	0.000000	1726.120067	0.000602	0.9
208	-0.327765	0.000000	1726.120067	0.000267	1.1
209	-0.350136	0.000000	1726.120067	0.000974	0.9
210	-0.324002	0.000000	1726.120067	0.000321	0.9
211	-0.331218	0.000000	1726.120067	0.000450	0.9
212	-0.353236	0.000000	1726.120067	0.000510	0.9
213	-0.362826	0.000000	1726.120067	0.000587	0.9
214	-0.371393	1.000000	1647.660064	0.000426	0.8
215	-0.337085	0.559704	1681.308831	0.000351	0.9
216	-0.335140	0.000000	1726.120067	0.000229	0.9
217	-0.350406	0.000000	1726.120067	0.000064	0.8
218	-0.345485	0.000000	1726.120067	0.000213	0.9
219	-0.367722	0.210702	1708.973231	0.000335	1.1
220	-0.333207	1.195923	1633.116198	0.000237	0.9
221	-0.355107	2.055966	1572.197020	0.000210	0.9
222	-0.356232	1.470278	1613.176345	0.000584	0.9
223	-0.354196	2.468070	1544.588948	0.000415	0.9
224	-0.349219	1.726583	1594.983354	0.000444	0.9
225	-0.335409	0.985096	1648.777020	0.000416	0.9
226	-0.335558	0.250412	1705.779710	0.000343	0.9
227	-0.332011	0.000000	1726.120067	0.000444	0.9
228	-0.384742	0.000000	1726.120067	0.000575	1.0
229	-0.364936	0.000000	1726.120067	0.000534	0.9
230	-0.365244	1.000000	1647.660064	0.000381	1.0
231	-0.313011	0.262157	1704.837406	0.000670	0.9
232	-0.312160	1.250907	1629.080638	0.000552	0.9
233	-0.366733	0.509420	1685.239388	0.000319	0.9
234	-0.358319	0.000000	1726.120067	0.000586	0.9
235	-0.375553	0.999974	1647.662021	0.000431	0.9
236	-0.373182	0.258487	1705.131774	0.000346	1.1
237	-0.325825	1.249097	1629.213184	0.000360	0.9
238	-0.354131	1.870382	1584.954806	0.000801	0.9
239	-0.327395	2.870381	1518.556489	0.000696	0.9
240	-0.358639	3.870338	1457.500175	0.000250	1.0
241	-0.353513	3.151541	1500.878199	0.000344	1.0
242	-0.340288	2.607918	1535.439128	0.000356	0.9
243	-0.338668	3.607862	1473.046347	0.000307	0.9
244	-0.342769	4.069250	1445.935595	0.000409	0.9
245	-0.369540	4.766013	1406.834736	0.000411	1.1
246	-0.342092	4.024551	1448.518326	0.000512	1.0
